13. NAJČEŠĆA PREZIMENA, POPIS 2011.;;;;;;;;;;;;
Ime županije;Grad ili općina;"Ime grada ili
općine";Najčešća prezimena 1);;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10
Krapinsko-zagorska;Općina;Desinić;LJUBIĆ;ŠURBEK;ANTOLIĆ;STIPLOŠEK;BEBER;HORVAT;KRALJ;REGVAR;FIKET;HALUŽAN
Krapinsko-zagorska;Općina;Đurmanec;PAVIĆ;BELOŠEVIĆ;LELJAK;HORVAT;VINCELJ;VARJAČIĆ;ŠAFRANKO;KLASIĆ;PEČEK;SMILJANEC
Krapinsko-zagorska;Općina;Gornja Stubica;LEŠKOVIĆ;HREN;KLANJČIĆ;LISAK;JAKŠIĆ;LABAŠ;IVANIĆ;BENKO;HARAMUSTEK;KORMAN
Krapinsko-zagorska;Općina;Hrašćina;ŽUGEC;KURTOIĆ;VIZIR;BABOK;RUSEK;ČAČKO;KOVAČIĆ;BESEK;PETRINIĆ;ČAVEC
Krapinsko-zagorska;Općina;Hum na Sutli;TEPEŠ;ČUČEK;MIKLAUŽIĆ;HALUŽAN;BORŠIĆ;PODHRAŠKI;BARIĆ;BRAČUN;OČKO;ŠPILJAK
Krapinsko-zagorska;Općina;Jesenje;KLASIĆ;CVRTILA;KOVAČEC;ŠOŠTARIĆ;RANOGAJEC;JEDVAJ;JANŽEK;KRANJČEC;HERCEG;HABJANEC
Krapinsko-zagorska;Općina;Konjščina;BRLEK;CRNEKOVIĆ;GORIČKI;JANTOLEK;KEREŠA;JAKOPOVIĆ;CURIŠ;LUGARIĆ;HANŽEK;OZIMEC
Krapinsko-zagorska;Općina;Kraljevec na Sutli;BOROŠAK;KRALJ;BAN;BOGOVIĆ;JAMBREŠIĆ;SINKOVIĆ;VRABEC;HLAD;KOLAR;HARAPIN
Krapinsko-zagorska;Općina;Krapinske Toplice;HORVAT;HALAPIR;BELOŠEVIĆ;PLEČKO;SINKOVIĆ;HRŠAK;BELINA;JAGIĆ;FUČKAR;PLAHUTAR
Krapinsko-zagorska;Općina;Kumrovec;ŽUPANIĆ;BLAŽIČKO;SPORIŠ;IVEKOVIĆ;ANTOLIĆ;BROZ;KRAJCAR;PREKRATIĆ;BEZJAK;IVIĆ
Krapinsko-zagorska;Općina;Lobor;LABAŠ;MARKUŠ;HORVAT;SMETIŠKO;KUHARIĆ;VLAHEK;BEHIN;KRAJNIK;MIKAC;BENKOVIĆ
Krapinsko-zagorska;Općina;Mače;TUŠKAN;HERCEG;SEDLAR;SEDAK;BENČIĆ;TRČAK;HORVAT;SPEVEC;CERČIĆ;MUTAK
Krapinsko-zagorska;Općina;Marija Bistrica;GABUD;OZIMEC;MIKUŠ;HABAZIN;PRUGOVEČKI;BABIĆ;ČUKMAN;ŠIMUNEC;KOŽIĆ;ČUKELJ
Krapinsko-zagorska;Općina;Mihovljan;KLARIĆ;RISEK;GRADEČAK;KOVAČIĆ;VUČKOVIĆ;ERDELJA;PAVLEK;TUŠEK;PLUKAVEC;VUĐAN
Krapinsko-zagorska;Općina;Novi Golubovec;KRESONJA;ZEBEC;RISEK;BISTROVIĆ;BROZD;DELIJA;TUŠEK;BOBEK;SOKOLIĆ;KOS
Krapinsko-zagorska;Općina;Petrovsko;HRŠAK;POSLON;KUNŠTEK;LELJAK;PRESEČKI;POSLONČEC;PODGAJSKI;ŠKRNJUG;MUŽAR;BELAČIĆ
Krapinsko-zagorska;Općina;Radoboj;TUŠEK;POLJAK;CEROVEČKI;KISELJAK;ŠVALJEK;VIDOVIĆ;HORVAT;SAJKO;KOŠUTIĆ;POSPIŠ
Krapinsko-zagorska;Općina;Stubičke Toplice;ŠTURLAN;ZRINSKI;KRAŠEVAC;MLINARIĆ;BENGER;FRANJKOVIĆ;KRALJIĆ;GREDIČAK;PILSKI;BALAŠKO
Krapinsko-zagorska;Općina;Sveti Križ Začretje;PILJEK;MERKAŠ;MAJSEC;SINKOVIĆ;VUKIĆ;MIHOVILIĆ;ŠKREBLIN;ROGINIĆ;ŠĆURIC;ZUBIĆ
Krapinsko-zagorska;Općina;Tuhelj;ZANOŠKI;ŠURINA;HERCIGONJA;HERCEG;PAVLINIĆ;KOLMAN;TUŠAK;IVEKOVIĆ;ILIĆ;PUKLJAK
Krapinsko-zagorska;Općina;Veliko Trgovišće;KAHLINA;HORVATEK;BESEDNIK;KANCELJAK;PAVLINIĆ;ŠĆUKANEC;ŠKALEC;HALAMBEK;KRALJ;HORVAT
Krapinsko-zagorska;Općina;Zagorska Sela;ZGORELEC;LOJEN;JURAK;MAČEK;PREGLEJ;ŠIVAK;FISTRIĆ;STAROVEŠKI;HOHNJEC;KODRNJA
Krapinsko-zagorska;Općina;Zlatar-Bistrica;MIKULEC;PARADI;HOIĆ;LEŽAIĆ;FUTIVIĆ;BARTOLEK;GRŠIĆ;MARTINJAK;ŠUMAK;KORPAR
Sisačko-moslavačka; ;;KOVAČEVIĆ;JURIĆ;HORVAT;BOGDAN;PAVLOVIĆ;VUKOVIĆ;BABIĆ;PERKOVIĆ;MARIĆ;BOŽIĆ
Sisačko-moslavačka;Grad;Glina;JURKOVIĆ;CESTARIĆ;KAURIĆ;ROŽANKOVIĆ;ŽUGAJ;PETROVIĆ;PEREKOVIĆ;ŠANTEK;BABIĆ;MARTINOVIĆ
Sisačko-moslavačka;Grad;Hrvatska Kostajnica;GOVORČINOVIĆ;GALIĆ;KNEŽEVIĆ;PAVLOVIĆ;DIDOVIĆ;BOŽANOVIĆ;PETROVIĆ;ŠAPINA;JANIĆ;PETRIČEVIĆ
Sisačko-moslavačka;Grad;Kutina;BOGDAN;HORVAT;TURKALJ;KOVAČIĆ;BOŽIĆ;VUKOVIĆ;RENDULIĆ;BABIĆ;VIDOVIĆ;KRZNARIĆ
Sisačko-moslavačka;Grad;Novska;KOVAČEVIĆ;JURIĆ;BOŽIĆ;VUKOVIĆ;KOMLJENOVIĆ;GRGIĆ;KOZIĆ;ILIČIĆ;TUTIĆ;ČAVLOVIĆ
Sisačko-moslavačka;Grad;Petrinja;KOVAČEVIĆ;RADOŠEVIĆ;JURIĆ;VIDOVIĆ;LOVREKOVIĆ;MARIĆ;PAVIČIĆ;IVANOVIĆ;MARKOVIĆ;PEJAKOVIĆ
Sisačko-moslavačka;Grad;Sisak;PERKOVIĆ;NIKOLIĆ;KOVAČEVIĆ;HORVAT;KOVAČIĆ;JURIĆ;SERTIĆ;VUKOVIĆ;MARKOVIĆ;MARIĆ
Sisačko-moslavačka;Općina;Donji Kukuruzari;BRANDIĆ;BOROJEVIĆ;DUBRAVAC;BARIŠIĆ;JURIĆ;PETRIĆ;DRAGIČEVIĆ;MARIĆ;GALIĆ;BOŽANOVIĆ
Sisačko-moslavačka;Općina;Dvor;NIŠEVIĆ;RESANOVIĆ;BOROJEVIĆ;KNEŽEVIĆ;JOKA;MENIĆANIN;MILIČEVIĆ;ARBUTINA;ĐURIĆ;MILIĆ
Sisačko-moslavačka;Općina;Gvozd;MRAOVIĆ;CREVAR;MALOBABIĆ;PAVLOVIĆ;VUČINIĆ;TRKULJA;BEKIĆ;KUKULJ;SUČEVIĆ;ZORIĆ
Sisačko-moslavačka;Općina;Hrvatska Dubica;ĆORIĆ;KARAGIĆ;GLAVINIĆ;DUJMOVIĆ;JURIĆ;MIKIĆ;ABAZA;BLAŽEVIĆ;KRNIĆ;LONČAR
Sisačko-moslavačka;Općina;Jasenovac;ŠIMIČIĆ;JURIĆ;ČEVIZOVIĆ;DRAGIĆ;JUGOVIĆ;JAKOVLJEVIĆ;MARENIĆ;MILAŠINOVIĆ;KOZIĆ;VIDAKOVIĆ
Sisačko-moslavačka;Općina;Lekenik;SEVER;BALINČIĆ;ĆOSIĆ;SUČIĆ;CULOVIĆ;DUMBOVIĆ;KRNIC;DOMITROVIĆ;LUKAČEVIĆ;SKRBIN
Sisačko-moslavačka;Općina;Lipovljani;TISAJ;RADINOVIĆ;TURAS;MIRKOVIĆ;HORVAT;DUJIĆ;VINCENT;JURIĆ;TOŠ;DALENJAK
Sisačko-moslavačka;Općina;Majur;SOLOMUN;FILAR;BABIĆ;JAMIĆ;VUJČIĆ;CRNOJEVIĆ;GAVRIĆ;MATEKOVIĆ;CAGARIĆ;GARIĆ
Sisačko-moslavačka;Općina;Martinska Ves;POKAS;RADIĆ;ŠTERC;TUMPAK;DOVRANIĆ;MATLEKOVIĆ;POSILOVIĆ;BRLEČIĆ;IVANKOVIĆ;BRLIĆ
Sisačko-moslavačka;Općina;Popovača;BOGDAN;HORVAT;PLEŠE;MIŠKOVIĆ;RADMAN;TOMAC;JELAŠ;ŠARČEVIĆ;TUTIĆ;ĐUDARIĆ
Sisačko-moslavačka;Općina;Sunja;KLARIĆ;KOVAČEVIĆ;LONČAREVIĆ;KOLAR;KOLIĆ;MARIĆ;MILUNIĆ;SOVIĆ;BRNAD;KRAPLJAN
Sisačko-moslavačka;Općina;Topusko;ABRAMOVIĆ;VORKAPIĆ;ŽUGAJ;KUZMIĆ;KOVAČEVIĆ;RAKARIĆ;BAKIĆ;KAPAC;LIKAREVIĆ;PUTRIĆ
Sisačko-moslavačka;Općina;Velika Ludina;HORVAT;BOGDAN;PALAIĆ;LIDMILA;STOŠIĆ;BOŽIĆ;KOVAČIĆ;NOVAK;PETIR;ŠIROKI
Karlovačka; ;;CINDRIĆ;SALOPEK;PUŠKARIĆ;MIHALIĆ;VUKOVIĆ;BROZOVIĆ;MAGDIĆ;KATIĆ;RADOČAJ;ŠKRTIĆ
